title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Amjonota,rock,Sumon 'Bassbaba',2013,7416,"{""Sumon \\'Bassbaba\\'"",Shishir,""Rafa (rock)""}","[সুমন]
দিনকে বানাও রাত তোমরা, রাতকে বানাও দিন
যতই হাসি, যতই কাঁদি, সবই অর্থহীন
নতুন নতুন নিয়ম বানাও, আমরা ভাঙবো বলে
নতুন চিন্তা ভাবতে গেলেই ভরবে মোদের সেল এ

অতীত এর সব হিসেব নিকেশ, ভবিষ্যতের মুলা
ধর্মটাকে নেড়েচেড়ে দিচ্ছ চোখে ধুলা
রামগরুড়ের ছানার ছিল হাসতে শুধু মানা
আমরা আজ করবোটা কি, সেটাও অজানা

[রাফা]
মুখে মোদের শেলাই দেখে, হেসে ফেলে তারাও
আমরা যে ভাই আমজনতা, একটু ক্ষান্ত দাও
মিথ্যে দিয়ে বাঁধাই করা বইটা যে পড়াও
আমরা যে ভাই আমজনতা, একটু ক্ষান্ত দাও

[সুমন]
ফটোশপে মেকাপ করা আমাদের দেশের ছবি
আহা আমার সোনার বাংলা তোমায় ভালবাসি
হয়ে যাচ্ছি কেমন যেন, ঘৃণাই ভালবাসি
মানবতা হারিয়ে গেছে, মানুষ মরলে খুশি
[রাফা X2]
কেউবা চাটে প্রতিবেশি, কেউবা বলে 'ঘাউ'
আমরা যে ভাই আমজনতা, একটু খান্ত দাও

জ্বাল, জ্বাল

[সুমন]
[Bridge]
ফেলানীর লাশ মাড়িয়ে ওপাড়ের ধর্ষিতা নিয়ে আমাদের কত দুঃখ
তাদের জন্য আমাদের অশ্রুর সাগরে নারী-অধিকার তত্ত্ব
৭১ এর ৩০ লাখ শহীদের পুনরমৃত্যু হয় রাজনীতিরই হাতে
যখন নির্যাতন চলে 'উপজাতি' উপাধি পাওয়া আদিবাসির সাথে
সংবিধানের গ্যাঁড়াকলের মধ্যাঙ্গুলি, বাঙ্গালিত্তের চাপে পিষ্ঠ মাইনরিটি
দেশপ্রেমের হিসেব চলে পোশাকে, ভালবাসার আত্মহুতি...হারায় সে রসাতলে

তোমাদের এই চুলাচুলি ভাল্লাগেনা আর
'এক, রাজ আর গন' তন্ত্র... মিশে একাকার
তোমাদের এই কথা শুনেই নাচতে থাকি মোরা
হোক না ব্যথা পায়ের তলা, হোকনা উঠোন ব্যাকা

[রাফা X2]
৫ না, ১০ বছরের হিসেব করতে দাও
আমরা যে ভাই আমজনতা একটু ক্ষান্ত দাও

[সুমন]
টিভির ভিতর সুশীল শিল্পী শিখায় রাজনীতি
সে ছাড়া সবাই নাকি আজ 'অবাঙালি'
বাঙ্গালিত্তের সনদপত্র কোথা থেকে পাই?
নাম লেখাবো তোমার দলে? আমায় নেবে ভাই?
[রাফা X2]
দেশটা আজ না খেয়ে ভাই অন্য কিছু খাও
আমরা যে ভাই আমজনতা একটু ক্ষান্ত দাও

[সুমন]
ভাল্লাগেনা কোন কিছুই? মনটা তোমার খারাপ?
ভাঙ্গতে থাকো বাড়ি গাড়ি, মুছে যাবে পাপ
হলুদ রঙের কালি দিয়ে চল খবর লিখি
'বিশ্বাস' বা 'অবিশ্বাস'? নাচবো মোরা ঠিকই

[রাফা]
অদ্ভুত এক হিসেবে সুন্দরবন হারাই
আমরা যে ভাই আমজনতা একটু ক্ষান্ত চাই
আমাদের বাঘ মামা ওপারে পালায়
আমরা যে ভাই আমজনতা একটু ক্ষান্ত চাই

[সুমন]
দিনের পর রাতটা আসে, রাতের পরে দিন
তাল গাছ কি সারাজীবন তোমারই অধীন?
ধীরে ধীরে হচ্ছে বড় মাথায় পাগলা ঘোড়া
আখলাক ভাই বদলে গেল, বদলাবিনা তোরা?

[রাফা]
হঠাৎ যেদিন খেপবো মোরা, বলবি তখন হায়
""আমজনতা ভাই বোনেরা আমরা এখন যাই?""
হঠাৎ যেদিন খেপবো মোরা, বলবি তখন হায়
""আমজনতা ভাই বোনেরা একটু ক্ষান্ত চাই""",270263,bn,bn,bn
স্বাধীনতা এই শব্দটি কীভাবে আমাদের হলো,misc,Nirmolendu Guun,2014,6040,{},"একটি কবিতা লেখা হবে তার জন্য অপেক্ষার উত্তেজনা নিয়ে
লক্ষ লক্ষ উন্মত্ত অধীর ব্যাকুল বিদ্রোহী শ্রোতা বসে আছে
ভোর থেকে জন সমুদ্রের উদ্যান সৈকতে: ‘কখন আসবে কবি’?

এই শিশু পার্ক সেদিন ছিল না,
এই বৃক্ষে ফুলে শোভিত উদ্যান সেদিন ছিল না।
তা হলে কেমন ছিল সেদিনের সেই বিকেল বেলাটি?
তা হলে কেমন ছিল শিশু পার্কে, বেঞ্চে, বৃক্ষে, ফুলের বাগানে
ঢেকে দেয়া এই ঢাকার হৃদয় মাঠখানি?

জানি, সেদিনের সব স্মৃতি মুছে দিতে হয়েছে উদ্যত
কালো হাত। তাই দেখি কবিহীন এই বিমুখ প্রান্তরে আজ
কবির বিরুদ্ধে কবি,
মাঠের বিরুদ্ধে মাঠ,
বিকেলের বিরুদ্ধে বিকেল,
উদ্যানের বিরুদ্ধে উদ্যান,
মার্চের বিরুদ্ধে মার্চ...।

হে অনাগত শিশু, হে আগামী দিনের কবি,
শিশু পার্কের রঙিন দোলনায় দোল খেতে তুমি
একদিন সব জানতে পারবে; আমি তোমাদের কথা ভেবে
লিখে রেখে যাচ্ছি সেই শ্রেষ্ঠ বিকেলের গল্প।
সেদিন এই উদ্যানের রুপ ছিল ভিন্নতর।
না পার্ক না ফুলের বাগান, - এসবের কিছুই ছিল না,
শুধু একখন্ড অখন্ড আকাশ যেরকম, সেরকম দিগন্ত প্লাবিত
ধু ধু মাঠ ছিল দূর্বাদলে ঢাকা, সবুজে সবুজময়।
আমাদের স্বাধীনতা প্রিয় প্রাণের সবুজ এসে মিশেছিল
এই ধু ধু মাঠের সবুজে।
কপালে কব্জিতে লালসালু বেঁধে
এই মাঠে ছুটে এসেছিল কারখানা থেকে লোহার শ্রমিক,
লাঙল জোয়াল কাঁধে এসেছিল ঝাঁক বেঁধে উলঙ্গ কৃষক,
পুলিশের অস্ত্র কেড়ে নিয়ে এসেছিল প্রদীপ্ত যুবক।
হাতের মুঠোয় মৃত্যু, চোখে স্বপ্ন নিয়ে এসেছিল মধ্যবিত্ত,
নিম্ন মধ্যবিত্ত, করুণ কেরানী, নারী, বৃদ্ধ, বেশ্যা, ভবঘুরে
আর তোমাদের মতো শিশু পাতা- কুড়ানীরা দল বেঁধে।
একটি কবিতা পড়া হবে, তার জন্য কী ব্যাকুল
প্রতীক্ষা মানুষের: ‘কখন আসবে কবি?’ ‘কখন আসবে কবি?’

শত বছরের শত সংগ্রাম শেষে,
রবীন্দ্রনাথের মতো দৃপ্ত পায়ে হেঁটে
অত:পর কবি এসে জনতার মঞ্চে দাঁড়ালেন।

তখন পলকে দারুণ ঝলকে তরীতে উঠিল জল
হৃদয়ে লাগিল দোলা, জন সমুদ্রে জাগিল জোয়ার
সকল দুয়ার খোলা। কে রোধে তাঁহার বজ্রকন্ঠ বাণী?
গণসূর্যের মঞ্চ কাঁপিয়ে কবি শোনালেন তাঁর অমর-কবিতা খানি:

‘এবারের সংগ্রাম আমাদের মুক্তির সংগ্রাম
এবারের সংগ্রাম স্বাধীনতার সংগ্রাম।’

সেই থেকে স্বাধীনতা শব্দটি আমাদের।",489778,bn,bn,bn
আমার সোনার বাংলা,misc,Rabindranath Tagore,2014,79,{},"আমার সোনার বাংলা,
আমি তোমায় ভালবাসি।

চিরদিন তোমার আকাশ,
তোমার বাতাস
আমার প্রাণে বাজায় বাঁশি।

ও মা,
ফাগুনে তোর আমের বনে
ঘ্রাণে পাগল করে
মরি হায়, হায় রে
ও মা,
অঘ্রানে তোর ভরা ক্ষেতে,
আমি কী দেখেছি মধুর হাসি।।

কী শোভা, কী ছায়া গো,
কী স্নেহ, কী মায়া গো,
কী আঁচল বিছায়েছ
বটের মূলে,
নদীর কূলে কূলে।
মা, তোর মুখের বাণী
আমার কানে লাগে
সুধার মতো-

মা তোর বদন খানি মলিন হলে
আমি নয়ন
ও মা আমি নয়ন জলে ভাসি
সোনার বাংলা,
আমি তোমায় ভালবাসি।",490544,bn,bn,bn
Ghune Khaoya Rod,pop,Artcell,2006,2010,{},"চারটি দেয়াল ক্রমশ
সরে আসে বৃত্তের ভেতরে
কমে আসে আলো
বস্তুর চারিপাশ এখন নীরব।

রঙ মূলত সাদা কালো
অন্ধকারের ছায়া-অপছায়া বোধ।

অথবা খয়েরী নীল আকাশ
অনেকটা ঘুণে খাওয়া রোদ
লেগে থাকে আকাশের গায়ে
সময়ের রঙহীন ক্যানভাস
আমার জানালায়।

স্বপ্ন এখন এগারো সাতাশ
শুন্যের ওপর দেখ,দেখো দাঁড়ায়
সম্মোহিত শহর
বাতাসের চোখে আজ,চোখে আজ
নেশার উৎকট আলো
রঙ মূলত সাদা কালো
অন্ধকারের ছায়া-অপছায়া বোধ।
অথবা খয়েরী নীল আকাশ
অনেকটা ঘুণে খাওয়া রোদ
লেগে থাকে আকাশের গায়ে
বিবর্ণ সময়ের
জানালায় আজ ঘুণে খাওয়া রোদ

আমার শরীর মানে আমি
ও ছায়া-ছায়া মানে মৃত রোদ
আত্মহুতি দেয় তাদের আলোর যৌবন সারাক্ষণ
মেঘে মেঘে ঢাকা পড়ে
চেনা অচেনা কত মুখ
ছায়ার শরীর ছায়ায়
বাঁচে আলোর ভয়
জানালায় আজ ঘুণে খাওয়া রোদ।।",955595,bn,bn,bn
Poth Chola,pop,Artcell,2002,21975,{},"[Verse 1]
আমার পথ চলা আমার পথে
যেন বেলা শেষে আকাশ কার মোহে
আমার স্বপ্ন আমার সাথে
যেন স্বপ্নে ফিরে আসে স্বপ্ন হয়ে
খুঁজে পায় জীবনের তীর
জীবনকে কোন স্বপ্ন ভেবে

[Chorus]
আমি কার আশাতে
ছুটে চলি পথে পথে
যেন কার মায়াতে
বাধা পড়েছে জীবন যে
কত সুখ কল্পনা
কত মিথ্যে প্রলোভন
কষ্টের প্রতিটিক্ষন
শোনায় তার আহ্বান

[Verse]
আমার আলোয় আলোকিত
হতে চেয়ে আধাঁরে মিলিয়ে
আমার স্বপ্ন আমার সাথে
যেন স্বপ্নে ফিরে আসে স্বপ্ন হয়ে
খুঁজে পায় জীবনের তীর
জীবনকে কোন স্বপ্ন ভেবে
[Chorus]
আমি কার আশাতে
ছুটে চলি পথে পথে
যেন কার মায়াতে
বাধা পড়েছে জীবন যে
কত সুখ কল্পনা
কত মিথ্যে প্রলোভন
কষ্টের প্রতিটিক্ষন
শোনায় তার আহ্বান

[Bridge]
আমি আজ নেই তবু
কত সুর ওঠে বেজে
তোমার ঐ গানের মাঝে
এই পথ গেছে মিশে
আমার বেলা শেষে
স্বপ্ন ফিরে আসে
পৃথিবীর দূর দেশে
জীবনকে কোন এক স্বপ্ন
ভেবে

[Chorus]
আমি কার আশাতে
ছুটে চলি পথে পথে
যেন কার মায়াতে
বাধা পড়েছে জীবন যে
কত সুখ কল্পনা
কত মিথ্যে প্রলোভন
কষ্টের প্রতিটিক্ষণ
শোনায় তার আহ্বান
আমি কার আশাতে
ছুটে চলি পথে পথে
যেন কার মায়াতে
বাধা পড়েছে জীবন যে
কত সুখ কল্পনা
কত মিথ্যে প্রলোভন
কষ্টের প্রতিটিক্ষণ
শোনায় তার আহ্বান",1107028,bn,bn,bn
Chile Kothar Shepai,pop,Artcell,2015,7694,{},"যা দেখ যা দেখনা
ভাঙ্গে যত অনুভূতি চেনা অচেনা
তোমার অনাগত সম্ভাবনায় জমে
ঘুণপোকার আর্তনাদ।

তোমার নীল আকাশ শূন্য চোখে চেয়ে থাকে
অন্ধকার দেয়ালে
তোমার আলো জন্ম দেয়
মিথ্যে ছায়াকে সম্মোহিত সময়ে।
তোমার জানালায় নীল আকাশ
আঁধারে নয় আলোতে ভয় দৃশ্যগুলো শব্দময়
শূন্যতার ভিড়ে হারিয়েছে স্তব্ধ সময়
স্বপ্নময় ঘুমে নয় শব্দগুলো দৃশ্যময়
শূন্যতায় নির্বাসিত রয় স্তব্ধ সময়।

ছায়াদের বাঁধা চোখে চোখে ফেরে
সময়ের নির্বাসিত নীল আকাশ
অন্ধকার ভেঙে গড়ে আজ
শব্দ করে এই ইতিহাস।

তোমার নীল আকাশ শূন্য চোখে চেয়ে থাকে
অন্ধকার দেয়ালে
তোমার আলো জন্ম দেয়
মিথ্যে ছায়াকে সম্মোহিত সময়ে।
তোমার জানালায় নীল আকাশ
আঁধারে নয় আলোতে ভয় দৃশ্যগুলো শব্দময়
শূন্যতার ভিড়ে হারিয়েছে স্তব্ধ সময়
স্বপ্নময় ঘুমে নয় শব্দগুলো দৃশ্যময়
শূন্যতায় নির্বাসিত রয় স্তব্ধ সময়।
তোমার মৃত শব্দের দৃশ্য আজও ওড়ে
বাতাসে বিগত সময় শব্দ করে।
ভুলের চেনা শরীর চেনেনি তোমাকে
এখানে কে দাঁড়ায় ছায়ার মিছিলে?

একই শরীর একই সময়
কেন তবুও এই পথের শেষে জড় অনুভূতি?
কেন মেঘে ঢাকা পড়ে ছেঁড়া আকাশ?

আঁধারে নয় আলোতে ভয় দৃশ্যগুলো শব্দময়
শূন্যতার ভিড়ে হারিয়েছে স্তব্ধ সময়
স্বপ্নময় ঘুমে নয় শব্দগুলো দৃশ্যময়
শূন্যতায় নির্বাসিত রয় স্তব্ধ সময়।",1213563,bn,bn,bn
Aniket Prantor,pop,Artcell,2006,55949,{},"তবু এই দেয়ালের শরীরে
যত ছেঁড়া রং, ধুয়ে যাওয়া মানুষ
পেশাদার প্রতিহিংসা তোমার চেতনার
যত উদ্ভাসিত আলো রং
আকাশের মতন অকস্মাৎ নীল
নীলে ডুবে থাকা তোমার প্রিয় কোনো মুখ
তার চোখের কাছাকাছি এসে কেন পথ ভেঙে

দু'টো মানচিত্র এঁকে, দু'টো দেশের মাঝে
বিঁধে আছে অনুভূতিগুলোর ব্যবচ্ছেদ...

তবু এইখানে আছে অবলীল হাওয়া
জানালা বদ্ধ ঘরে আসে যায়
দেয়াল ধরে বেড়ে ওঠে মধ্যরাত
তোমার ছায়ায় জমে এসে ভয়
আলোকে চিনে নেয় আমার অবাধ্য সাহস
ভেতরে এখন কি নেই কাপুরুষ অন্ধকার একা?

তোমাকে ঘিরে পথগুলো সব সরে যায়
রাত্রির এই একা ঘর ঝুলে আছে শূন্যের কাঁটাতারে
দু'টো মানচিত্র এঁকে, দু'টো দেশের মাঝে
মিশে আছে অনুভূতিগুলোর ব্যবচ্ছেদ...
তবু এই দুটি কাঁটাতারে, শহরের মতো করে
ভিড়ে ভরে গেছে ঘুম আমার
অচেতন কখন বেওয়ারিশ, মাটির কাছে এসে
সময় কে এপিটাফ ভেবে হাঁটু গেড়ে বসে...

তবু এখানে বাতাস আসে দুরত্বের উৎসাহে
শরৎ জমে আছে ঠাণ্ডা ঘাসে
তোমার চোখের মাঝে দূরের একা পথ
এখানে ভাঙে না দু'টো দেশে

মেঘের দূরপথ ভেঙে বুকের গভীর অন্ধকারে
আলোর নির্বাসন স্মৃতির মতন
অবিকল স্বপ্নঘর বাঁধা স্মৃতির অন্ধ নির্জনে
সময় থেমে থাকে অনাগত যুদ্ধের বিপরীতে

এখানে সরণির লেখা নেই নাম, কোন শহীদ স্মারকে
তোমার জন্য জমা থাকে শুধু স্বপ্নঘর
জানালায় ঝুলে থাকে না শূন্যতার অবচেতন
তোমার ঘরের অন্ধ আলোয় অদেখা
এখানের নির্জন অনিকেত প্রান্তর

তবুও তোমার ভাঙা স্মৃতি, ছেঁড়া স্বপ্ন, দোমড়ানো খেলাঘর
ছেঁড়া আকাশ, ভাঙা কাঁচে
আলো আর অন্ধকার তোমার
তোমার দেয়ালে কত লেখা
মানুষের দেয়ালে দেয়াল
বেঁড়ে ওঠে কাঁটাতার
এখানে এ মহান মানচিত্রের ভাগাড়
তোমার শূন্যঘরে ভরা স্মৃতি
জড় পাথরে লেখা নাম – শহীদ স্মরণী
জানালার বাইরে ভেসে গেছে দূরের আকাশ
বিঁধে আছি সময়ের কাঁটাতারে
বিঁধে আছো ছেঁড়া আকাশের মত তুমি

তোমার স্বপ্নের দলা পাকানো
বাসি কবিতা, নষ্ট গানে
তোমার জানালার বাইরে শূন্য আকাশ
তবু অনিকেত এই প্রান্তরে

এখানে এখনও শরতের প্রচুর বাতাসে
সবুজের ঘ্রানে ভরে আছে অন্ধকার এ ঘর তোমার
দেয়ালে এখন শুধু মৃত্যুর মৃত রেখাপাত...

তোমাকে কড়া নাড়ে স্মৃতিরা, ভাঙা স্বপ্ন
ঘুমের মত নেশাময় কত
কত শিশু কত আলোর মশাল নিভে গেছে
নিভে গেছে কত অচেনা ভয়
তোমাকে এখন অপরিণত এক অচেনা স্মৃতি মনে হয়
তোমার জানালার বাইরে শূন্যে
দূরের স্বপ্নঘর, ঝুলে আছি নির্জনতায়
মৃত্যু কি অনিকেত প্রান্তর?",1301981,bn,bn,bn
Piya Tu Ab to Aaja,pop,Najma,1996,64,{},"কুল ফুল বকুল ফুল
সোনা দিয়া হাত কানও বান্ধাইলি।
শালুক ফুলের লাজ নাই
রাইতে শালুক ফুটে।
যার সনে যার ভালোবাসা
সেইতো মজা লুটে।
আমার জামাই ধান বায়
হরিণডাঙার মাঠে।
সোনা দেহে ঘাম ঝরে
দেইখা পরাণ ফাটে।
শাওন ভাদর মাসে
জামাই আদর করে।
ইচ্ছে জামাই করবো আদর
দানাতো নাই ঘরে।
---
.",1311140,bn,bn,bn
Pathor Bagan,pop,Artcell,2006,697,{},"সমাধির বিশাল প্রান্তরে একা জেগে
আমাদের তথাকথিত সভ্যতার যীশু
ধার করা কবিতার শেওলা মাখা স্মৃতির পাথরে
মুখ থুবড়ে পরে থাকে এ মূল্যবোধ

সাদা ক্রুশের মিছিল জুড়ে মিথ্যে অহংকার
ভুল নায়কের ছদ্মবেশে নেয় নিঃশ্বাস
সম্মোহিত মৃত প্রজন্ম ফিরে আসে
ফিরে আসে জন্মান্তরে বিবর্তনে

আড়ালে হেসে যায় যুদ্ধের দেবতা
ধ্বংসের সুর তোলে আবারো
পৃথিবীর বুকে আবাস গড়ে
নতুন কোনো পাথর বাগান

আমাদের যত জানা ইতিহাস সেতো শেখা
রুপালি পর্দায় আলোর মায়ায়
ভুলে যাওয়া হিংসার ছায়ায়

আড়ালে হেসে যায় যুদ্ধের দেবতা
ধ্বংসের সুর তোলে আবারো
পৃথিবীর বুকে আবাস গড়ে
নতুন কোনো পাথর বাগান
তোমাদের পাথর বাগানের সবুজ ঘাসে
মিশে থাকে কত যুগের নষ্ট গল্প
যত পতাকার রং ধুয়ে যায় অভিশাপে
আকাশের সাদা অনুভূতিতে শুধু ঘৃণা",1347714,bn,bn,bn
Aaj Srishti Sukher Ullase,rap,Pro Dolla $ign,2016,132,"{""Pro Dolla \\$ign""}","আমারে সকল ক্ষুদ্রতা হতে
বাঁচাও প্রভু উদার।
হে প্রভু! শেখাও – নীচতার চেয়ে
নীচ পাপ নাহি আর।

যদি শতেক জন্ম পাপে হই পাপী
যুগ-যুগান্ত নরকেও যাপি
জানি জানি প্রভু, তারও আছে ক্ষমা-
ক্ষমা নাহি নীচতার।।

ক্ষুদ্র করো না হে প্রভু আমার
হৃদয়ের পরিসর
যেন সম ঠাঁই পায়
শত্রু-মিত্র-পর।

নিন্দা না করি ঈর্ষায় কারো
অন্যের সুখে সুখ পাই আরো
কাঁদি তারি তরে অশেষ দুঃখী
ক্ষুদ্র আত্মা তার।।

আজ সৃষ্টি সুখের উল্লাসে–
মোর মুখ হাসে মোর চোখ হাসে মোর টগবগিয়ে খুন হাসে
আজ সৃষ্টি-সুখের উল্লাসে।
আজকে আমার রুদ্ধ প্রাণের পল্বলে –
বান ডেকে ঐ জাগল জোয়ার দুয়ার – ভাঙা কল্লোলে।
আসল হাসি, আসল কাঁদন
মুক্তি এলো, আসল বাঁধন
মুখ ফুটে আজ বুক ফাটে মোর তিক্ত দুখের সুখ আসে।
ঐ রিক্ত বুকের দুখ আসে –
আজ সৃষ্টি-সুখের উল্লাসে!

আসল উদাস, শ্বসল হুতাশ
সৃষ্টি-ছাড়া বুক-ফাটা শ্বাস
ফুললো সাগর দুললো আকাশ ছুটলো বাতাস
গগন ফেটে চক্র ছোটে, পিণাক-পাণির শূল আসে!
ঐ ধূমকেতু আর উল্কাতে
চায় সৃষ্টিটাকে উল্টাতে

আজ তাই দেখি আর বক্ষে আমার লক্ষ বাগের ফুল হাসে
আজ সৃষ্টি-সুখের উল্লাসে!
আজ হাসল আগুন, শ্বসল ফাগুন
মদন মারে খুন-মাখা তূণ
পলাশ অশোক শিমুল ঘায়েল
ফাগ লাগে ঐ দিক-বাসে
গো দিগ বালিকার পীতবাসে;

আজ রঙ্গন এলো রক্তপ্রাণের অঙ্গনে মোর চারপাশে
আজ সৃষ্টি সুখের উল্লাসে!
আজ কপট কোপের তূণ ধরি
ঐ আসল যত সুন্দরী
কারুর পায়ে বুক ডলা খুন, কেউ বা আগুন
কেউ মানিনী চোখের জলে বুক ভাসে!
তাদের প্রাণের ‘বুক-ফাটে-তাও-মুখ-ফোটে-না’ বাণীর বীণা মোর পাশে
ঐ তাদের কথা শোনাই তাদের
আমার চোখে জল আসে
আজ সৃষ্টি সুখের উল্লাসে!
আজ আসল ঊষা, সন্ধ্যা, দুপুর
আসল নিকট, আসল সুদূর
আসল বাধা-বন্ধ-হারা ছন্দ-মাতন
পাগলা-গাজন-উচ্ছ্বাসে!
ঐ আসল আশিন শিউলি শিথিল
হাসল শিশির দুবঘাসে
আজ সৃষ্টি-সুখের উল্লাসে!

আজ জাগল সাগর, হাসল মরু
কাঁপল ভূধর, কানন তরু
বিশ্ব-ডুবান আসল তুফান, উছলে উজান
ভৈরবীদের গান ভাসে
মোর ডাইনে শিশু সদ্যোজাত জরায়-মরা বামপাশে।

মন ছুটছে গো আজ বল্গাহারা অশ্ব যেন পাগলা সে।
আজ সৃষ্টি-সুখের উল্লাসে!
আজ সৃষ্টি-সুখের উল্লাসে!!",2463050,bn,bn,bn
