id,query,status
0,Sahana Bajpaie Tomra Kunjo Sajao Go,exists
1,Sahana Bajpaie Ektai Porichoy,exists
2,Kawsar Dxo Hero Baba,exists
3,Pro Dolla $ign Aaj Srishti Sukher Ullase,exists
4,Arbovirus Ja Icche Tai,exists
5,Sahana Bajpaie Sokatore Oi,exists
6,Bappa Mazumder Din Bari Jay,exists
7,Piran Khan Srity – Piran Khan,success
8,Artcell Chile Kothar Shepai,exists
9,Mrinal Chakraborty Thung Thang Thung Thang Churir Taale,exists
10,Grizzle Tune Sritir Boshobash,exists
11,Anik Mostofa Fuck U Senti-G,exists
12,Sahana Bajpaie Amar Nishitho Rater Badol Dhara,exists
13,Bhanga Bangla Chup Thak,exists
14,Sahana Bajpaie Fooley Fooley Dholey Dholey,exists
15,Sahana Bajpaie Aami Bahu Basanay,exists
16,Chandrabindoo Jodi Bhabo Pabe,exists
17,Sahana Bajpaie Tomar Khola Hawaa,exists
18,Arnob Hariye Giyechi,exists
19,Stoic Bliss Raatri Jaga,exists
20,Lopamudra Mitra Hridmajhare Rakhbo,exists
21,Samz Vai Vabte Khub Obak Lage Lyrics,exists
22,Cactus (India) Tumi Bojho Ami Bujhi,exists
23,Anupam Roy Khelna Bati Ranna,exists
24,Moruvumi Jiboner Srote,exists
25,Rasel (BD) পাওয়া যায় নি,exists
26,Shohojia Swapner Akash,exists
27,Recall Ghum,exists
28,Hyder Husyn Mrittu,exists
29,BLACK (Band) Andho,exists
30,Soniya Akhtar Kafon Amar Apon Cover,exists
31,Stoic Bliss Pakhi Paka Pepe Khay,exists
32,Habib Wahid তোমাকে ছেড়ে আমি Tomake Chere Ami,exists
33,Shironamhin পাখি Pakhi,exists
34,Sahana Bajpaie Tomarei Koriachi Jiboner Dhrubotara,exists
35,Shironamhin Ichchhe Ghuri ইচ্ছে ঘুরি,exists
36,Najma Piya Tu Ab to Aaja,exists
37,Aurthohin Shesh Gaan,exists
39,Iksy Injoy Remix,exists
40,Aurthohin Kaadbe Bishmoye,exists
41,Traditional Lembu,exists
42,Chandrabindoo Ekti Murgi,exists
43,Bankim Chandra Chattopadhyay Vande Mataram,exists
44,Shuvrajit panda Wrong Route - a bengali heart broken song,exists
45,Iksy Tukaya,exists
46,Arbovirus Shekor,exists
47,Shironamhin Porichoy,exists
48,Hyder Husyn 30 Bachar,exists
49,Aurthohin Cancer,exists
50,Oblique Bhondo,exists
51,Arindam Chatterjee Chailey,exists
52,Swagatalakshmi Dasgupta Rangiye Diye Jao Go Ebar,exists
53,THS SyL Lyrics Kuje Pai Prem | THS SyL,exists
54,Recall Prem Shomachar,exists
55,Imran Mahmudul Bahudore,exists
56,Aurthohin Fitasher Kanna Aushomapto 3,exists
57,Aurthohin Aushomapto,exists
58,Bappa Mazumder Tumi Achho Tai,exists
59,Rabiul Rafi বাগ ও শিয়াল,exists
60,Apekkhik Band Ke Bole,success
61,Yo BoY NanDA Phiরে আয় Phire Ayy  Bangla Love Rap Feat. Yo BoY NanDA,exists
62,Artcell Aniket Prantor,exists
63,Manna Dey Coffee Houser Sei Addata Lyrics In Bengali:,exists
64,Hyder Husyn Biri,exists
65,Topu & Anila Jabe Ki Chole Duet,exists
66,Shreya Ghoshal বেলা বয়ে যায় Bela Boye Jae,exists
67,RahatMusic Karon Taa Jana Nai,exists
68,One Merge Boyosta Kono Matter Na,exists
69,Bappa Mazumder Sara Jibon,exists
70,Kazi Nazrul Islam Muslim Amar Naam | মুসলিম আমার নাম,exists
71,Shironamhin Shurjo সূর্য,exists
72,Aurthohin Nikrishto 2,exists
73,Bappa Mazumder Shopno Ronger,exists
74,Kawsar Dxo Too Much Rough,exists
75,Chandrabindoo Hote Pare Cliche,exists
76,Shironamhin Ei Obelay এই অবেলায়,exists
77,Bay of Bengal Je Shohore Ami Nei,exists
78,NishanBlues Kuasha Vora Bikele,exists
79,Chandrabindoo Office Time,exists
80,Stoic Bliss Abar Abar Jigay,exists
81,Hyder Husyn Dukhi Joner Golpo,exists
82,Vibe Otripto Pran,exists
83,Shironamhin Bondho Janala বন্ধ জানালা,exists
84,Artcell Dhushor Shomoy,exists
85,The Schizofreniks SacrificeBengali official Track,exists
86,Shironamhin Nishcup Adhar নিশ্চুপ আঁধার,exists
87,Arnob Tomar Jonno,exists
88,Ehsaan Tahmid Matiro Pinjira,exists
89,CyanideMusic BLOOD,exists
90,Bappa Mazumder Moner Ghuri,exists
91,Pritom Hasan & Nuhash Humayun Khoka,exists
92,Nish (UK) Maa Baba,exists
93,Sahana Bajpaie Tomay Gaan Shonabo,exists
94,Rabindranath Tagore Amar Sonar Bangla,exists
95,Ehsaan Tahmid Anthem of The Oppressed,success
96,Shironamhin Abar Hashimukh আবার হাসিমুখ,exists
97,Arekta Rock Band Eden,exists
98,Shonar Bangla Circus Attohottar Gaan,exists
99,Nish (UK) Koi Gelay,exists
100,Sahana Bajpaie Kar Milono Chao Birohi,exists
101,Nazeel Azami Ishāra,exists
102,Miftah Zaman Please Nijer Kheyal Rekho,exists
103,Bappa Mazumder Ajana A Kon Bhela,exists
104,Neel Dutt Mon Kharaper Bikele,exists
105,Sahana Bajpaie Ki Gabo Aami Ki Shonabo,exists
106,Hyder Husyn Alpo Boyosi Bou,exists
107,Anis Ansari Kafon Amar Apon,exists
108,Asif Akbar Natok,exists
109,Aurthohin Aanmoney,exists
110,Ishan Mitra Shondhye Namar Aagey,exists
111,Sahana Bajpei Mor Bhabonare,exists
112,Artcell Tomake,exists
113,Timir Biswas Qatl E Zulfiqar,exists
114,Cryptic Fate Lobher Agun,exists
115,Shironamhin Hashimukh হাসিমুখ,exists
116,Arijit Singh Tomake Chai,exists
117,Chandrabindoo Jodi Bolo Hya,exists
118,Bappa Mazumder Hote Pare,exists
119,Sahana Bajpaie Ekhono Sei Brindabone,exists
120,Tanveer Evan & Benazir Avijog,exists
121,Hyder Husyn Brishty,exists
122,Imran Mahmudul Fire Ashona,exists
123,Stoic Bliss Intro,exists
124,Kazi Nazrul Islam Allar Naam Mukhe Jahar,exists
125,Kabir Suman Prathom Sabkichhu,exists
126,Jeet Gannguli Ureche Mon,exists
127,Shironamhin Valobasha Megh ভালোবাসা মেঘ,exists
128,Bappa Mazumder Shopner Jahaj,exists
129,Chandrabindoo Toker Jatna Nin,exists
130,Xefer Rahman Harbo Na,exists
131,RP Roman Walker Lyrics Kar bukete haso ft. Armaan Alif,exists
132,Stoic Bliss Ei Je Ami,exists
